TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR,,ID WMO,97692
01-01-2024,24,33,28.6,83,-,4.1,2,240,0,C,,Nama Stasiun,Stasiun Klimatologi Jayapura
02-01-2024,23.6,34,28.8,84,-,8.2,2,80,0,C,,Periode,01-01-2024 - 31-12-2024
03-01-2024,24,33.6,29.3,81,-,6.3,1,230,0,C,,Lintang,-259.231
04-01-2024,24,32.4,28.5,87,6,8,2,20,0,C,,Bujur,14.016.792
05-01-2024,24,32.7,29.2,86,2.5,5.5,2,260,0,C,,Elevasi,70 Meter
06-01-2024,24,32,28.4,88,-,6.5,2,220,0,C,,,
07-01-2024,24,32.1,28.5,83,1.8,4.5,2,110,0,C,,,
08-01-2024,24.2,32,28.5,87,10,5.8,0,70,0,C,,KETERANGAN:,
09-01-2024,24.8,30.4,28.1,85,8888,3.1,0,0,0,C,,8888: Data tidak terukur,
10-01-2024,24.6,33.2,28.8,81,0.4,0.3,3,30,0,C,,9999: Tidak Ada Data (tidak dilakukan pengukuran),
11-01-2024,23.2,33.2,29.5,79,-,7.2,1,220,0,C,,Tn: Temperatur minimum (°C),
12-01-2024,24.8,32,28.9,86,1.3,6,2,280,0,C,,Tx: Temperatur maksimum(°C),
13-01-2024,24,32,27.6,90,-,6.4,2,360,0,C,,Tavg: Temperatur rata-rata(°C),
14-01-2024,24.4,31.8,28.5,84,19,7.2,2,270,0,C,,RH_avg: Kelembapan rata-rata(%),
15-01-2024,24,30.4,27.6,87,2,5.1,1,240,0,C,,RR: Curah hujan(mm),
16-01-2024,23.4,30.4,26.3,94,5.3,3.4,2,280,0,C,,ss: Lamanya penyinaran matahari(jam),
17-01-2024,24.6,32,28.5,84,2,0,3,230,0,C,,ff_x: Kecepatan angin maksimum(m/s),
18-01-2024,24.4,30,27.7,89,26.5,3.3,0,0,0,C,,ddd_x: Arah angin saat kecepatan maksimum(°),
19-01-2024,24.8,32.2,29,82,8888,0.7,2,270,1,C,,ff_avg: Kecepatan angin rata-rata(m/s),
20-01-2024,24,29.2,25.9,94,36,5.8,0,0,0,C,,ddd_car: Arah angin terbanyak(°),
21-01-2024,24.9,31.6,28.5,85,6.9,0,2,160,0,C,,,
22-01-2024,25,30.5,28,85,4.6,4.2,2,340,0,C,,,
23-01-2024,24.9,28.9,26.6,91,21.8,4,4,360,1,C,,,
24-01-2024,24.5,30,26.3,91,1.2,0.1,4,280,1,C,,,
25-01-2024,23.7,29.8,27.6,88,55.8,1.6,3,320,0,C,,,
26-01-2024,24.7,30.9,28.4,86,27.5,0.8,3,230,1,C,,,
27-01-2024,25.2,29.9,27.4,92,3.3,4.5,2,40,0,C,,,
28-01-2024,24.2,32.8,28.8,82,4,0.3,2,110,0,C,,,
29-01-2024,24.9,32.8,26.4,92,-,4.4,1,210,0,C,,,
